Date,AAPL,AMZN,GOOGL,IBM,INTC,MSFT,MSI,NVDA,TSLA
2014-12-31,24.55400276184082,15.517499923706055,26.40675163269043,98.99256134033203,27.842750549316406,39.80646896362305,56.61435317993164,0.4811791777610779,14.827333450317383
2015-01-02,24.3204402923584,15.425999641418457,26.351516723632812,99.99213409423828,27.896461486816406,40.07212829589844,56.13329315185547,0.48309916257858276,14.620667457580566
2015-01-05,23.635284423828125,15.10949993133545,25.849414825439453,98.41875457763672,27.58188819885254,39.70363998413086,54.90950012207031,0.4749394655227661,14.005999565124512
2015-01-06,23.637508392333984,14.76449966430664,25.21146583557129,96.29627227783203,27.067838668823242,39.12089538574219,54.445308685302734,0.4605400562286377,14.085332870483398
2015-01-07,23.968957901000977,14.920999526977539,25.137319564819336,95.66693115234375,27.635602951049805,39.61793899536133,54.3777961730957,0.4593401849269867,14.063332557678223
2015-01-08,24.889907836914062,15.02299976348877,25.224903106689453,97.74623107910156,28.149642944335938,40.783416748046875,55.22177505493164,0.4766193926334381,14.041333198547363
2015-01-09,24.91660499572754,14.846500396728516,24.916872024536133,98.17196655273438,28.203346252441406,40.44062423706055,54.95172119140625,0.4785393178462982,13.77733325958252
2015-01-12,24.30263900756836,14.570500373840332,24.7347469329834,96.52456665039062,28.08058738708496,39.93500900268555,54.31027603149414,0.4725395739078522,13.480667114257812
2015-01-13,24.518409729003906,14.737000465393066,24.970617294311523,96.75284576416016,28.003870010375977,39.72934341430664,54.107723236083984,0.47181957960128784,13.616666793823242
2015-01-14,24.42498207092285,14.66349983215332,25.17613410949707,96.12969970703125,27.88878631591797,39.38654708862305,53.81232452392578,0.47373953461647034,12.845999717712402
2015-01-15,23.762086868286133,14.34749984741211,25.080589294433594,95.37074279785156,27.766019821166992,38.97520065307617,53.51693344116211,0.47037965059280396,12.791333198547363
2015-01-16,23.577449798583984,14.536999702453613,25.401554107666016,96.95648956298828,27.96550178527832,39.62651443481445,54.05708694458008,0.4790193736553192,12.871333122253418
2015-01-20,24.184738159179688,14.472000122070312,25.37567901611328,96.83926391601562,27.689302444458008,39.75505828857422,54.03175354003906,0.4804592728614807,12.795332908630371
2015-01-21,24.36937713623047,14.862500190734863,25.895694732666016,93.840576171875,27.988523483276367,39.35228729248047,54.276519775390625,0.48717889189720154,13.104666709899902
2015-01-22,25.003347396850586,15.515999794006348,26.737171173095703,95.876708984375,28.318424224853516,40.389225006103516,55.16271209716797,0.4955786168575287,13.441332817077637
2015-01-23,25.132368087768555,15.619500160217285,26.968563079833984,96.17286682128906,27.96550178527832,40.43206787109375,55.26398849487305,0.4970187842845917,13.419333457946777
2015-01-26,25.159072875976562,15.482999801635742,26.70830726623535,96.47520446777344,27.47447967529297,40.286373138427734,55.45808410644531,0.4948585331439972,13.770000457763672
2015-01-27,24.278165817260742,15.337499618530273,25.935503005981445,94.8154296875,26.2315731048584,36.55853271484375,54.8082275390625,0.47109970450401306,13.732000350952148
2015-01-28,25.650684356689453,15.195500373840332,25.49958610534668,93.50740814208984,25.91700553894043,35.29877471923828,53.879844665527344,0.4634200930595398,13.291333198547363
2015-01-29,26.44927215576172,15.58899974822998,25.539396286010742,95.9322280883789,26.246915817260742,36.001495361328125,53.87141036987305,0.47469931840896606,13.680000305175781
2015-01-30,26.062213897705078,17.726499557495117,26.749610900878906,94.59333801269531,25.349254608154297,34.62177658081055,52.672950744628906,0.4607800841331482,13.573332786560059
2015-02-02,26.389211654663086,18.223499298095703,26.483383178710938,95.42626953125,25.8172664642334,35.37590789794922,53.01054763793945,0.4708596467971802,14.062666893005371
2015-02-03,26.393665313720703,18.177499771118164,26.538122177124023,97.77708435058594,25.855628967285156,35.650150299072266,54.02332305908203,0.482619047164917,14.557332992553711
2015-02-04,26.596092224121094,18.237499237060547,26.17983627319336,96.84540557861328,25.963809967041016,35.85581970214844,53.9642448425293,0.48381906747817993,14.569999694824219
2015-02-05,26.785924911499023,18.694499969482422,26.365447998046875,97.43155670166016,26.226537704467773,36.37857437133789,54.01487350463867,0.4917386770248413,14.732666969299316
2015-02-06,26.56036376953125,18.714000701904297,26.566986083984375,97.3756103515625,25.731990814208984,36.34428405761719,54.57190704345703,0.4895787537097931,14.490667343139648
2015-02-09,26.736785888671875,18.527999877929688,26.33807945251465,96.77294158935547,25.44607925415039,36.30143737792969,57.205135345458984,0.48909884691238403,14.498666763305664
2015-02-10,27.250444412231445,18.649999618530273,26.87948989868164,98.5188980102539,26.041086196899414,36.507118225097656,57.57649612426758,0.5027781128883362,14.419333457946777
2015-02-11,27.889158248901367,18.756999969482422,26.772005081176758,98.29520416259766,25.925172805786133,36.31858444213867,57.87188720703125,0.4994182288646698,14.186667442321777
2015-02-12,28.24201774597168,18.85849952697754,27.17060089111328,98.49405670166016,26.37335968017578,36.92703628540039,59.07878494262695,0.5351768136024475,13.525333404541016
2015-02-13,28.380489349365234,19.09149932861328,27.4268741607666,99.66216278076172,26.551088333129883,37.59547805786133,59.002811431884766,0.5354169607162476,13.584667205810547
2015-02-17,28.5479793548584,18.771499633789062,27.120838165283203,100.01010131835938,26.84471893310547,37.61274337768555,58.90153121948242,0.5370967388153076,13.623332977294922
2015-02-18,28.746732711791992,18.668500900268555,27.003395080566406,100.77433013916016,26.481544494628906,37.569576263427734,58.33606719970703,0.5308571457862854,13.630666732788086
2015-02-19,28.686437606811523,18.950000762939453,27.192495346069336,101.83062744140625,26.435178756713867,37.54369354248047,58.26010513305664,0.5322969555854797,14.11400032043457
2015-02-20,28.920930862426758,19.183000564575195,26.961101531982422,101.68148803710938,26.589725494384766,37.85440444946289,58.935306549072266,0.5361368060112,14.473999977111816
